Date,Open,High,Low,Close,Adj Close,Volume
Dec 03 2018,245.20,247.04,241.47,242.07,242.07,3472500.0
Nov 30 2018,235.40,238.28,233.39,237.41,237.41,4008300.0
Nov 29 2018,234.27,238.63,232.76,235.78,235.78,1792000.0
Nov 28 2018,236.50,238.00,231.62,235.22,235.22,3108000.0
Nov 27 2018,233.58,238.37,232.42,235.83,235.83,3040600.0
Nov 26 2018,234.22,238.15,231.55,235.31,235.31,2871400.0
Nov 23 2018,227.58,232.69,227.58,229.90,229.90,806600.0
Nov 21 2018,230.22,233.31,227.51,230.00,230.00,1992600.0
Nov 20 2018,223.94,229.08,222.58,227.71,227.71,3212300.0
Nov 19 2018,236.53,241.08,228.54,229.13,229.13,3532600.0
Nov 16 2018,233.82,239.20,231.65,237.61,237.61,3600500.0
Nov 15 2018,226.22,239.31,225.86,236.34,236.34,3669400.0
Nov 14 2018,226.76,230.53,225.62,226.20,226.20,2541100.0
Nov 13 2018,225.49,229.82,222.32,224.83,224.83,2669700.0
Nov 12 2018,231.00,231.87,220.28,223.63,223.63,5030600.0
Nov 09 2018,235.00,239.02,232.54,238.99,238.99,3361100.0
Nov 08 2018,232.71,242.62,232.71,240.25,240.25,2979600.0
Nov 07 2018,231.99,235.29,229.21,234.40,234.40,2900400.0
Nov 06 2018,220.30,229.16,219.72,228.25,228.25,2946400.0
Nov 05 2018,219.02,221.10,213.71,220.09,220.09,2760900.0
Nov 02 2018,225.33,225.97,217.75,220.77,220.77,4024100.0
Nov 01 2018,225.16,234.23,223.72,229.88,229.88,3683000.0
Oct 31 2018,225.00,225.67,221.71,223.49,223.49,2814600.0
Oct 30 2018,213.78,221.56,211.00,221.01,221.01,2969700.0
Oct 29 2018,216.19,218.69,208.23,211.50,211.50,2863600.0
Oct 26 2018,215.57,217.34,209.20,213.15,213.15,5332400.0
Oct 25 2018,219.88,223.39,219.15,222.24,222.24,3519300.0
Oct 24 2018,226.40,226.41,217.84,218.71,218.71,3781000.0
Oct 23 2018,222.81,229.54,218.82,229.05,229.05,3599000.0
Oct 22 2018,230.56,232.43,228.04,228.62,228.62,2561900.0
Oct 19 2018,230.00,231.09,226.93,228.28,228.28,3223100.0
Oct 18 2018,235.43,236.82,226.53,228.02,228.02,3744200.0
Oct 17 2018,239.74,239.74,233.92,237.17,237.17,2026200.0
Oct 16 2018,236.00,238.76,234.18,238.32,238.32,3035500.0
Oct 15 2018,231.03,235.33,230.04,232.47,232.47,3009900.0
Oct 12 2018,234.76,235.67,229.11,232.95,232.95,3258900.0
Oct 11 2018,231.97,235.60,227.19,228.90,228.90,3742400.0
Oct 10 2018,242.93,245.07,231.64,231.83,231.83,5632700.0
Oct 09 2018,240.59,245.73,240.37,244.70,244.70,2467500.0
Oct 08 2018,243.31,245.42,240.38,241.37,241.37,3339700.0
Oct 05 2018,248.39,250.05,242.40,244.23,244.23,3386000.0
Oct 04 2018,246.66,249.73,246.20,248.17,248.17,2566000.0
Oct 03 2018,248.81,251.33,247.04,249.42,249.42,1960700.0
Oct 02 2018,249.14,251.71,247.92,248.10,248.10,2488800.0
Oct 01 2018,247.88,252.14,247.67,249.51,249.51,2770900.0
Sep 28 2018,245.54,246.97,243.85,246.73,246.73,2673900.0
Sep 27 2018,245.69,247.88,244.91,246.45,246.45,2957200.0
Sep 26 2018,245.64,248.05,244.80,245.43,245.43,3342800.0
Sep 25 2018,248.98,249.35,245.80,247.65,247.65,4703700.0
Sep 24 2018,248.05,250.10,247.31,249.45,249.45,4532600.0
Sep 21 2018,246.33,248.77,245.18,248.10,248.10,13532100.0
Sep 20 2018,242.99,246.04,241.72,244.93,244.93,3998600.0
Sep 19 2018,240.47,242.49,239.77,241.79,241.79,3116000.0
Sep 18 2018,235.00,241.40,234.87,239.73,239.73,5051100.0
Sep 17 2018,240.00,240.30,234.31,234.83,233.08,3673900.0
Sep 14 2018,235.16,237.09,233.69,236.34,234.58,2809500.0
Sep 13 2018,233.69,239.22,231.12,235.42,233.67,4375700.0
Sep 12 2018,228.10,230.85,222.83,229.89,228.18,5307700.0
Sep 11 2018,237.70,239.70,230.40,232.55,230.82,6075500.0
Sep 10 2018,234.66,240.95,232.05,240.61,238.82,6088000.0
Sep 07 2018,224.20,235.41,224.00,232.58,230.85,10470300.0
Sep 06 2018,221.50,222.82,213.92,215.97,214.36,6250900.0
Sep 05 2018,219.95,221.80,219.58,221.42,219.77,3719400.0
Sep 04 2018,218.59,220.29,217.13,219.43,217.79,3666300.0
Aug 31 2018,216.03,219.32,215.85,219.03,217.40,2762300.0
